transaction_id,contract_id,client_id,payment_amt,payment_code,transaction_date
20175,927,1,66.66,PAYMENT,2018-05-22 18:08
8485,927,1,66.66,PAYMENT,2017-11-26 17:08
13778,927,1,66.66,PAYMENT,2018-02-22 17:08
22768,927,1,66.66,PAYMENT,2018-06-24 18:08
15698,927,1,66.66,PAYMENT,2018-03-22 17:08
25167,927,1,416.67,PAYMENT,2018-07-22 18:08
8322,927,1,5050.04,PAYMENT,2017-11-22 17:08
8484,927,1,466.67,PAYMENT,2017-11-26 17:08
17649,927,1,416.67,PAYMENT,2018-04-22 18:08
8323,927,1,50,PAYMENT,2017-11-22 17:08
17650,927,1,66.66,PAYMENT,2018-04-22 18:08
20174,927,1,416.67,PAYMENT,2018-05-22 18:08
13777,927,1,416.67,PAYMENT,2018-02-22 17:08
15697,927,1,416.67,PAYMENT,2018-03-22 17:08
25168,927,1,66.66,PAYMENT,2018-07-22 18:08
10126,927,1,66.66,PAYMENT,2017-12-21 17:08
10125,927,1,416.67,PAYMENT,2017-12-21 17:08
22767,927,1,416.67,PAYMENT,2018-06-24 18:08
20288,1368,2,1716.67,PAYMENT,2018-05-23 18:08
19822,1368,2,20050.04,PAYMENT,2018-05-20 18:08
22569,1368,2,1666.67,PAYMENT,2018-06-20 18:08
22570,1368,2,266.66,PAYMENT,2018-06-20 18:08
25301,1368,2,1666.67,PAYMENT,2018-07-22 18:08
25302,1368,2,266.66,PAYMENT,2018-07-22 18:08
19823,1368,2,50,PAYMENT,2018-05-20 18:08
20289,1368,2,266.66,PAYMENT,2018-05-23 18:08
346,27,3,500,PAYMENT,2017-07-06 18:08
11886,929,3,26.66,PAYMENT,2018-01-23 17:08
347,27,3,65,PAYMENT,2017-07-06 18:08
20240,929,3,166.67,PAYMENT,2018-05-23 18:08
20241,929,3,26.66,PAYMENT,2018-05-23 18:08
15767,929,3,166.67,PAYMENT,2018-03-25 17:08
11885,929,3,166.67,PAYMENT,2018-01-23 17:08
17840,929,3,26.66,PAYMENT,2018-04-23 18:08
13836,929,3,26.66,PAYMENT,2018-02-25 17:08
8382,929,3,50,PAYMENT,2017-11-23 17:08
8381,929,3,2050.04,PAYMENT,2017-11-23 17:08
8453,929,3,26.66,PAYMENT,2017-11-26 17:08
10095,929,3,26.66,PAYMENT,2017-12-21 17:08
8452,929,3,216.67,PAYMENT,2017-11-26 17:08
13835,929,3,166.67,PAYMENT,2018-02-25 17:08
10094,929,3,166.67,PAYMENT,2017-12-21 17:08
15768,929,3,26.66,PAYMENT,2018-03-25 17:08
22750,929,3,26.66,PAYMENT,2018-06-24 18:08
17839,929,3,166.67,PAYMENT,2018-04-23 18:08
22749,929,3,166.67,PAYMENT,2018-06-24 18:08
10205,796,4,53.33,PAYMENT,2017-12-26 17:08
17974,796,4,53.33,PAYMENT,2018-04-25 18:08
5051,796,4,50,PAYMENT,2017-09-25 18:08
10204,796,4,333.33,PAYMENT,2017-12-26 17:08
8456,796,4,333.33,PAYMENT,2017-11-26 17:08
6708,796,4,333.33,PAYMENT,2017-10-25 17:08
11951,796,4,333.33,PAYMENT,2018-01-24 17:08
17973,796,4,333.33,PAYMENT,2018-04-25 18:08
8457,796,4,53.33,PAYMENT,2017-11-26 17:08
6709,796,4,53.33,PAYMENT,2017-10-25 17:08
13845,796,4,333.33,PAYMENT,2018-02-25 17:08
11952,796,4,53.33,PAYMENT,2018-01-24 17:08
20418,796,4,53.33,PAYMENT,2018-05-27 18:08
15775,796,4,333.33,PAYMENT,2018-03-25 17:08
15776,796,4,53.33,PAYMENT,2018-03-25 17:08
5232,796,4,53.33,PAYMENT,2017-09-28 18:08
5231,796,4,383.33,PAYMENT,2017-09-28 18:08
22942,796,4,53.33,PAYMENT,2018-06-25 18:08
13846,796,4,53.33,PAYMENT,2018-02-25 17:08
20417,796,4,333.33,PAYMENT,2018-05-27 18:08
22941,796,4,333.33,PAYMENT,2018-06-25 18:08
5050,796,4,4049.96,PAYMENT,2017-09-25 18:08
67,543,5,416.67,PAYMENT,2017-07-02 18:08
68,543,5,66.66,PAYMENT,2017-07-02 18:08
3105,543,5,495,PAYMENT,2017-08-21 18:09
3106,543,5,3750.03,PAYMENT,2017-08-21 18:09
1943,543,5,416.67,PAYMENT,2017-08-01 18:08
1944,543,5,66.66,PAYMENT,2017-08-01 18:08
24388,1596,6,50,PAYMENT,2018-07-12 18:09
8336,521,6,416.67,PAYMENT,2017-11-22 17:08
24579,1596,6,883.33,PAYMENT,2018-07-15 18:09
8337,521,6,66.66,PAYMENT,2017-11-22 17:08
24387,1596,6,10049.96,PAYMENT,2018-07-12 18:09
17627,521,6,416.67,PAYMENT,2018-04-22 18:08
24580,1596,6,133.33,PAYMENT,2018-07-15 18:09
17628,521,6,66.66,PAYMENT,2018-04-22 18:08
15692,521,6,66.66,PAYMENT,2018-03-22 17:08
15691,521,6,416.67,PAYMENT,2018-03-22 17:08
4931,521,6,416.67,PAYMENT,2017-09-24 18:08
4932,521,6,66.66,PAYMENT,2017-09-24 18:08
10115,521,6,416.67,PAYMENT,2017-12-21 17:08
10116,521,6,66.66,PAYMENT,2017-12-21 17:08
1340,521,6,416.67,PAYMENT,2017-07-23 18:08
1341,521,6,66.66,PAYMENT,2017-07-23 18:08
3202,521,6,416.67,PAYMENT,2017-08-22 18:09
3203,521,6,66.66,PAYMENT,2017-08-22 18:09
6456,521,6,416.67,PAYMENT,2017-10-22 17:08
6457,521,6,66.66,PAYMENT,2017-10-22 17:08
13769,521,6,416.67,PAYMENT,2018-02-22 17:08
13770,521,6,66.66,PAYMENT,2018-02-22 17:08
9648,836,7,66.66,PAYMENT,2017-12-17 17:08
13366,836,7,416.67,PAYMENT,2018-02-18 17:08
15231,836,7,50,DEFAULT,2018-03-18 17:08
17934,836,7,3333.35,PAYMENT,2018-04-23 18:08
14979,836,7,66.66,DEFAULT,2018-03-13 17:08
15128,836,7,50,PAYMENT,2018-03-14 17:08
14162,836,7,66.66,DEFAULT,2018-02-28 17:08
9647,836,7,416.67,PAYMENT,2017-12-17 17:08
7940,836,7,66.66,PAYMENT,2017-11-16 17:08
14794,836,7,66.66,PAYMENT,2018-03-11 17:08
13998,836,7,66.66,PAYMENT,2018-02-26 17:08
13997,836,7,416.67,PAYMENT,2018-02-26 17:08
14793,836,7,416.67,PAYMENT,2018-03-11 17:08
15232,836,7,100,DEFAULT,2018-03-18 17:08
14161,836,7,416.67,DEFAULT,2018-02-28 17:08
15230,836,7,50,DEFAULT,2018-03-18 17:08
15130,836,7,100,PAYMENT,2018-03-14 17:08
7939,836,7,416.67,PAYMENT,2017-11-16 17:08
15129,836,7,50,PAYMENT,2018-03-14 17:08
13584,836,7,66.66,DEFAULT,2018-02-20 17:08
11457,836,7,416.67,PAYMENT,2018-01-16 17:08
6375,836,7,66.66,PAYMENT,2017-10-19 17:08
13367,836,7,66.66,PAYMENT,2018-02-18 17:08
14978,836,7,416.67,DEFAULT,2018-03-13 17:08
13583,836,7,416.67,DEFAULT,2018-02-20 17:08
6161,836,7,5050.04,PAYMENT,2017-10-16 17:08
6162,836,7,50,PAYMENT,2017-10-16 17:08
11458,836,7,66.66,PAYMENT,2018-01-16 17:08
6374,836,7,466.67,PAYMENT,2017-10-19 17:08
4108,412,8,833.33,PAYMENT,2017-09-10 18:09
23977,1139,8,1000,PAYMENT,2018-07-08 18:09
4109,412,8,125,PAYMENT,2017-09-10 18:09
18887,1139,8,1000,PAYMENT,2018-05-07 18:08
9247,412,8,833.33,PAYMENT,2017-12-10 17:08
16655,1139,8,1000,PAYMENT,2018-04-08 18:08
9248,412,8,125,PAYMENT,2017-12-10 17:08
14509,1139,8,50,PAYMENT,2018-03-06 17:08
2335,412,8,833.33,PAYMENT,2017-08-08 18:08
16656,1139,8,150,PAYMENT,2018-04-08 18:08
2336,412,8,125,PAYMENT,2017-08-08 18:08
21255,1139,8,150,PAYMENT,2018-06-06 18:09
10906,412,8,833.33,PAYMENT,2018-01-08 17:08
23978,1139,8,150,PAYMENT,2018-07-08 18:09
10907,412,8,125,PAYMENT,2018-01-08 17:08
14851,1139,8,1050,PAYMENT,2018-03-11 17:08
5708,412,8,833.33,PAYMENT,2017-10-08 17:08
21254,1139,8,1000,PAYMENT,2018-06-06 18:09
5709,412,8,125,PAYMENT,2017-10-08 17:08
14852,1139,8,150,PAYMENT,2018-03-11 17:08
12769,412,8,833.33,PAYMENT,2018-02-08 17:08
18888,1139,8,150,PAYMENT,2018-05-07 18:08
12770,412,8,125,PAYMENT,2018-02-08 17:08
14508,1139,8,12050,PAYMENT,2018-03-06 17:08
7478,412,8,833.33,PAYMENT,2017-11-08 17:08
7479,412,8,125,PAYMENT,2017-11-08 17:08
491,412,8,833.33,PAYMENT,2017-07-09 18:08
492,412,8,125,PAYMENT,2017-07-09 18:08
18893,737,8,1250,PAYMENT,2018-05-07 18:08
14390,737,8,187.5,PAYMENT,2018-03-04 17:08
8974,737,8,1250,PAYMENT,2017-12-04 17:08
8975,737,8,187.5,PAYMENT,2017-12-04 17:08
21093,737,8,1250,PAYMENT,2018-06-04 18:09
10700,737,8,1250,PAYMENT,2018-01-04 17:08
10701,737,8,187.5,PAYMENT,2018-01-04 17:08
14389,737,8,1250,PAYMENT,2018-03-04 17:08
5544,737,8,1250,PAYMENT,2017-10-04 17:08
5545,737,8,187.5,PAYMENT,2017-10-04 17:08
18894,737,8,187.5,PAYMENT,2018-05-07 18:08
12471,737,8,1250,PAYMENT,2018-02-04 17:08
12472,737,8,187.5,PAYMENT,2018-02-04 17:08
21094,737,8,187.5,PAYMENT,2018-06-04 18:09
16424,737,8,1250,PAYMENT,2018-04-04 18:08
16425,737,8,187.5,PAYMENT,2018-04-04 18:08
23692,737,8,1250,PAYMENT,2018-07-04 18:08
23693,737,8,187.5,PAYMENT,2018-07-04 18:08
7267,737,8,1250,PAYMENT,2017-11-05 17:08
7268,737,8,187.5,PAYMENT,2017-11-05 17:08
3793,737,8,15050,PAYMENT,2017-09-04 18:09
3794,737,8,50,PAYMENT,2017-09-04 18:09
3993,737,8,1300,PAYMENT,2017-09-07 18:09
